2025-06-13-03-56: using tensorboard
2025-06-13-03-56: Using LibriSpeech dataset
2025-06-13-03-56: Build optimizers and lr-schedulers
2025-06-13-03-57: <epoch:0, iter:100, total_loss_g:513.8199, adv_g_loss:0.9972, feat_loss:0.0725, rec_loss:513.8182, commit_loss:0.0026, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-03-58: <epoch:0, iter:200, total_loss_g:371.9259, adv_g_loss:0.9971, feat_loss:0.0466, rec_loss:371.9256, commit_loss:0.0014, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-02: <epoch:0, iter:300, total_loss_g:346.7683, adv_g_loss:0.9971, feat_loss:0.0496, rec_loss:346.7673, commit_loss:0.0074, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-05: <epoch:0, iter:400, total_loss_g:328.2589, adv_g_loss:0.9971, feat_loss:0.0556, rec_loss:328.2574, commit_loss:0.0024, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-08: <epoch:0, iter:500, total_loss_g:387.8416, adv_g_loss:0.9971, feat_loss:0.0514, rec_loss:387.8413, commit_loss:0.0035, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-11: <epoch:0, iter:600, total_loss_g:445.1743, adv_g_loss:0.9971, feat_loss:0.0509, rec_loss:445.1743, commit_loss:0.0006, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-14: <epoch:0, iter:700, total_loss_g:344.2473, adv_g_loss:0.9971, feat_loss:0.0345, rec_loss:344.2473, commit_loss:0.0001, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-17: <epoch:0, iter:800, total_loss_g:345.0367, adv_g_loss:0.9971, feat_loss:0.0333, rec_loss:345.0365, commit_loss:0.0006, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-20: <epoch:0, iter:900, total_loss_g:325.0471, adv_g_loss:0.9971, feat_loss:0.0490, rec_loss:325.0471, commit_loss:0.0000, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-23: <epoch:0, iter:1000, total_loss_g:418.4784, adv_g_loss:0.9970, feat_loss:0.0472, rec_loss:417.3867, commit_loss:0.0007, loss_d:2.0000, d_weight: 1.0000>
2025-06-13-04-26: <epoch:0, iter:1100, total_loss_g:388.5646, adv_g_loss:1.1584, feat_loss:0.1353, rec_loss:387.1355, commit_loss:0.0010, loss_d:1.8802, d_weight: 1.0000>
2025-06-13-04-29: <epoch:0, iter:1200, total_loss_g:407.9705, adv_g_loss:1.2899, feat_loss:0.2017, rec_loss:406.2772, commit_loss:0.0001, loss_d:1.8437, d_weight: 1.0000>
2025-06-13-04-32: <epoch:0, iter:1300, total_loss_g:397.7427, adv_g_loss:1.4112, feat_loss:0.4133, rec_loss:395.5049, commit_loss:0.0001, loss_d:1.6425, d_weight: 1.0000>
2025-06-13-04-35: <epoch:0, iter:1400, total_loss_g:355.0008, adv_g_loss:1.5000, feat_loss:0.3887, rec_loss:352.7232, commit_loss:0.0024, loss_d:1.5595, d_weight: 1.0000>
2025-06-13-04-38: <epoch:0, iter:1500, total_loss_g:409.9148, adv_g_loss:1.9004, feat_loss:0.3479, rec_loss:407.3179, commit_loss:0.0038, loss_d:1.5473, d_weight: 1.0000>
2025-06-13-04-41: <epoch:0, iter:1600, total_loss_g:415.7133, adv_g_loss:1.9597, feat_loss:0.5153, rec_loss:412.7231, commit_loss:0.0007, loss_d:0.9274, d_weight: 1.0000>
2025-06-13-04-44: <epoch:0, iter:1700, total_loss_g:600.6376, adv_g_loss:1.8892, feat_loss:0.2622, rec_loss:598.2238, commit_loss:0.0003, loss_d:1.8485, d_weight: 1.0000>
2025-06-13-04-48: <epoch:0, iter:1800, total_loss_g:446.2853, adv_g_loss:2.1212, feat_loss:0.4259, rec_loss:443.3121, commit_loss:0.0015, loss_d:1.2938, d_weight: 1.0000>
2025-06-13-04-51: <epoch:0, iter:1900, total_loss_g:360.2688, adv_g_loss:1.7577, feat_loss:0.5632, rec_loss:357.3846, commit_loss:0.0007, loss_d:0.9179, d_weight: 1.0000>
2025-06-13-04-54: <epoch:0, iter:2000, total_loss_g:465.9273, adv_g_loss:1.9381, feat_loss:0.7697, rec_loss:462.4498, commit_loss:0.0002, loss_d:1.0225, d_weight: 1.0000>
2025-06-13-04-57: <epoch:0, iter:2100, total_loss_g:336.4734, adv_g_loss:1.7776, feat_loss:0.5660, rec_loss:333.5638, commit_loss:0.0001, loss_d:1.3584, d_weight: 1.0000>
2025-06-13-05-00: <epoch:0, iter:2200, total_loss_g:327.7297, adv_g_loss:2.0320, feat_loss:0.5691, rec_loss:324.5595, commit_loss:0.0003, loss_d:0.6915, d_weight: 1.0000>
2025-06-13-05-03: <epoch:0, iter:2300, total_loss_g:287.9217, adv_g_loss:1.9018, feat_loss:0.2944, rec_loss:285.4297, commit_loss:0.0095, loss_d:1.6385, d_weight: 1.0000>
2025-06-13-05-06: <epoch:0, iter:2400, total_loss_g:288.3309, adv_g_loss:2.0660, feat_loss:0.5115, rec_loss:285.2391, commit_loss:0.0040, loss_d:0.8218, d_weight: 1.0000>
2025-06-13-05-09: <epoch:0, iter:2500, total_loss_g:378.9073, adv_g_loss:2.1088, feat_loss:0.6211, rec_loss:375.5562, commit_loss:0.0010, loss_d:0.8447, d_weight: 1.0000>
2025-06-13-05-12: <epoch:0, iter:2600, total_loss_g:449.5641, adv_g_loss:2.0387, feat_loss:0.6143, rec_loss:446.2964, commit_loss:0.0008, loss_d:1.0083, d_weight: 1.0000>
2025-06-13-05-15: <epoch:0, iter:2700, total_loss_g:437.9651, adv_g_loss:1.8988, feat_loss:0.6416, rec_loss:434.7829, commit_loss:0.0001, loss_d:0.5665, d_weight: 1.0000>
2025-06-13-05-18: <epoch:0, iter:2800, total_loss_g:475.5809, adv_g_loss:2.1058, feat_loss:0.5574, rec_loss:472.3604, commit_loss:0.0000, loss_d:1.0437, d_weight: 1.0000>
2025-06-13-05-21: <epoch:0, iter:2900, total_loss_g:430.3044, adv_g_loss:2.0200, feat_loss:0.6436, rec_loss:426.9964, commit_loss:0.0084, loss_d:0.6471, d_weight: 1.0000>
2025-06-13-05-24: <epoch:0, iter:3000, total_loss_g:420.3366, adv_g_loss:2.1694, feat_loss:0.6635, rec_loss:416.8401, commit_loss:0.0010, loss_d:0.4502, d_weight: 1.0000>
2025-06-13-05-27: <epoch:0, iter:3100, total_loss_g:323.6968, adv_g_loss:2.1927, feat_loss:0.6065, rec_loss:320.2910, commit_loss:0.0001, loss_d:0.6480, d_weight: 1.0000>
2025-06-13-05-30: <epoch:0, iter:3200, total_loss_g:342.4292, adv_g_loss:1.9863, feat_loss:0.4658, rec_loss:339.5110, commit_loss:0.0007, loss_d:0.8829, d_weight: 1.0000>
2025-06-13-05-33: <epoch:0, iter:3300, total_loss_g:399.9270, adv_g_loss:2.1444, feat_loss:0.5394, rec_loss:396.7037, commit_loss:0.0002, loss_d:1.2110, d_weight: 1.0000>
