2025-06-13-03-57: using tensorboard
2025-06-13-03-57: Using LibriSpeech dataset
2025-06-13-03-57: Build optimizers and lr-schedulers
2025-06-13-03-59: <epoch:0, iter:100, total_loss_g:512.8850, adv_g_loss:0.9971, feat_loss:0.0689, rec_loss:512.8813, commit_loss:0.0039, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-02: <epoch:0, iter:200, total_loss_g:368.9318, adv_g_loss:0.9971, feat_loss:0.0443, rec_loss:368.9317, commit_loss:0.0006, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-05: <epoch:0, iter:300, total_loss_g:349.7999, adv_g_loss:0.9971, feat_loss:0.0505, rec_loss:349.7993, commit_loss:0.0051, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-08: <epoch:0, iter:400, total_loss_g:330.5714, adv_g_loss:0.9971, feat_loss:0.0566, rec_loss:330.5706, commit_loss:0.0012, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-11: <epoch:0, iter:500, total_loss_g:389.4996, adv_g_loss:0.9971, feat_loss:0.0515, rec_loss:389.4995, commit_loss:0.0022, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-14: <epoch:0, iter:600, total_loss_g:449.1021, adv_g_loss:0.9971, feat_loss:0.0521, rec_loss:449.1007, commit_loss:0.0215, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-17: <epoch:0, iter:700, total_loss_g:350.4193, adv_g_loss:0.9971, feat_loss:0.0313, rec_loss:350.4191, commit_loss:0.0007, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-20: <epoch:0, iter:800, total_loss_g:342.5873, adv_g_loss:0.9971, feat_loss:0.0284, rec_loss:342.5873, commit_loss:0.0000, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-23: <epoch:0, iter:900, total_loss_g:325.8888, adv_g_loss:0.9971, feat_loss:0.0491, rec_loss:325.8883, commit_loss:0.0010, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-26: <epoch:0, iter:1000, total_loss_g:428.0154, adv_g_loss:0.9970, feat_loss:0.0487, rec_loss:426.9209, commit_loss:0.0001, loss_d:2.0000, d_weight: 1.0000>
2025-06-13-04-29: <epoch:0, iter:1100, total_loss_g:392.1227, adv_g_loss:1.1172, feat_loss:0.1431, rec_loss:390.7186, commit_loss:0.0008, loss_d:1.8752, d_weight: 1.0000>
2025-06-13-04-32: <epoch:0, iter:1200, total_loss_g:406.2336, adv_g_loss:1.2744, feat_loss:0.2426, rec_loss:404.4735, commit_loss:0.0017, loss_d:1.8490, d_weight: 1.0000>
2025-06-13-04-35: <epoch:0, iter:1300, total_loss_g:396.9397, adv_g_loss:1.3914, feat_loss:0.4515, rec_loss:394.6451, commit_loss:0.0020, loss_d:1.5745, d_weight: 1.0000>
2025-06-13-04-38: <epoch:0, iter:1400, total_loss_g:350.6206, adv_g_loss:1.5899, feat_loss:0.3804, rec_loss:348.2699, commit_loss:0.0007, loss_d:1.4298, d_weight: 1.0000>
2025-06-13-04-41: <epoch:0, iter:1500, total_loss_g:408.3150, adv_g_loss:1.9021, feat_loss:0.4549, rec_loss:405.5026, commit_loss:0.0021, loss_d:1.1027, d_weight: 1.0000>
2025-06-13-04-44: <epoch:0, iter:1600, total_loss_g:400.7090, adv_g_loss:1.8097, feat_loss:0.4649, rec_loss:397.9695, commit_loss:0.0002, loss_d:1.0321, d_weight: 1.0000>
2025-06-13-04-47: <epoch:0, iter:1700, total_loss_g:581.4029, adv_g_loss:1.8550, feat_loss:0.3685, rec_loss:578.8108, commit_loss:0.0008, loss_d:1.2676, d_weight: 1.0000>
2025-06-13-04-50: <epoch:0, iter:1800, total_loss_g:452.7156, adv_g_loss:1.9496, feat_loss:0.4452, rec_loss:449.8755, commit_loss:0.0000, loss_d:1.1314, d_weight: 1.0000>
2025-06-13-04-53: <epoch:0, iter:1900, total_loss_g:345.6882, adv_g_loss:1.4978, feat_loss:0.5286, rec_loss:343.1286, commit_loss:0.0167, loss_d:1.8085, d_weight: 1.0000>
2025-06-13-04-56: <epoch:0, iter:2000, total_loss_g:472.3404, adv_g_loss:1.8362, feat_loss:0.7548, rec_loss:468.9944, commit_loss:0.0004, loss_d:1.2408, d_weight: 1.0000>
2025-06-13-04-59: <epoch:0, iter:2100, total_loss_g:341.3264, adv_g_loss:2.1256, feat_loss:0.6012, rec_loss:337.9983, commit_loss:0.0006, loss_d:0.7888, d_weight: 1.0000>
2025-06-13-05-02: <epoch:0, iter:2200, total_loss_g:330.2793, adv_g_loss:1.9729, feat_loss:0.5562, rec_loss:327.1937, commit_loss:0.0010, loss_d:0.6908, d_weight: 1.0000>
2025-06-13-05-05: <epoch:0, iter:2300, total_loss_g:296.8390, adv_g_loss:1.9209, feat_loss:0.3899, rec_loss:294.1383, commit_loss:0.0000, loss_d:1.1709, d_weight: 1.0000>
2025-06-13-05-08: <epoch:0, iter:2400, total_loss_g:287.9227, adv_g_loss:1.9137, feat_loss:0.4427, rec_loss:285.1236, commit_loss:0.0006, loss_d:1.0610, d_weight: 1.0000>
2025-06-13-05-11: <epoch:0, iter:2500, total_loss_g:378.9874, adv_g_loss:1.8242, feat_loss:0.6107, rec_loss:375.9409, commit_loss:0.0150, loss_d:1.0516, d_weight: 1.0000>
2025-06-13-05-13: <epoch:0, iter:2600, total_loss_g:452.7447, adv_g_loss:2.0556, feat_loss:0.6124, rec_loss:449.4611, commit_loss:0.0018, loss_d:0.9072, d_weight: 1.0000>
2025-06-13-05-16: <epoch:0, iter:2700, total_loss_g:444.5599, adv_g_loss:1.9052, feat_loss:0.6375, rec_loss:441.3791, commit_loss:0.0005, loss_d:0.6477, d_weight: 1.0000>
2025-06-13-05-19: <epoch:0, iter:2800, total_loss_g:479.2153, adv_g_loss:2.1402, feat_loss:0.5380, rec_loss:475.9988, commit_loss:0.0007, loss_d:1.0816, d_weight: 1.0000>
2025-06-13-05-22: <epoch:0, iter:2900, total_loss_g:425.1141, adv_g_loss:2.0436, feat_loss:0.6545, rec_loss:421.7612, commit_loss:0.0022, loss_d:0.6687, d_weight: 1.0000>
2025-06-13-05-25: <epoch:0, iter:3000, total_loss_g:409.3921, adv_g_loss:2.2419, feat_loss:0.6748, rec_loss:405.7943, commit_loss:0.0331, loss_d:0.5761, d_weight: 1.0000>
2025-06-13-05-28: <epoch:0, iter:3100, total_loss_g:316.1965, adv_g_loss:2.0648, feat_loss:0.5997, rec_loss:312.9323, commit_loss:0.0001, loss_d:0.6925, d_weight: 1.0000>
2025-06-13-05-31: <epoch:0, iter:3200, total_loss_g:333.7969, adv_g_loss:1.5747, feat_loss:0.3886, rec_loss:331.4450, commit_loss:0.0002, loss_d:1.9006, d_weight: 1.0000>
2025-06-13-05-34: <epoch:0, iter:3300, total_loss_g:392.2444, adv_g_loss:2.1216, feat_loss:0.5443, rec_loss:389.0300, commit_loss:0.0369, loss_d:1.1672, d_weight: 1.0000>
2025-06-13-05-37: <epoch:0, iter:3400, total_loss_g:424.8140, adv_g_loss:1.9383, feat_loss:0.6474, rec_loss:421.5807, commit_loss:0.0001, loss_d:0.5582, d_weight: 1.0000>
2025-06-13-05-40: <epoch:0, iter:3500, total_loss_g:994.5110, adv_g_loss:2.1745, feat_loss:0.8324, rec_loss:990.6716, commit_loss:0.0001, loss_d:0.4789, d_weight: 1.0000>
2025-06-13-05-42: <epoch:0, <total_loss_g_train:405.9700, recon_loss_train:403.8973, adversarial_loss_train:1.6231, feature_loss_train:0.3788, commit_loss_train:0.0036>
2025-06-13-05-46: <epoch:0, total_loss_g_valid:3687.5178, recon_loss_valid:419.8012, adversarial_loss_valid:1.8959, feature_loss_valid:1632.9104, commit_loss_valid:0.0000, valid_loss_d:0.7639, best_epoch:0>
2025-06-13-05-49: <epoch:1, iter:100, total_loss_g:472.9331, adv_g_loss:1.8109, feat_loss:0.7100, rec_loss:469.7023, commit_loss:0.0001, loss_d:1.5517, d_weight: 1.0000>
2025-06-13-05-52: <epoch:1, iter:200, total_loss_g:420.4043, adv_g_loss:2.1515, feat_loss:0.6619, rec_loss:416.9290, commit_loss:0.0001, loss_d:0.6463, d_weight: 1.0000>
2025-06-13-05-55: <epoch:1, iter:300, total_loss_g:330.4734, adv_g_loss:2.6123, feat_loss:0.5352, rec_loss:326.7908, commit_loss:0.0001, loss_d:1.4688, d_weight: 1.0000>
2025-06-13-05-58: <epoch:1, iter:400, total_loss_g:347.8055, adv_g_loss:2.3063, feat_loss:0.6737, rec_loss:344.1517, commit_loss:0.0000, loss_d:0.6957, d_weight: 1.0000>
2025-06-13-06-01: <epoch:1, iter:500, total_loss_g:359.0088, adv_g_loss:2.0355, feat_loss:0.6114, rec_loss:355.7504, commit_loss:0.0001, loss_d:0.5143, d_weight: 1.0000>
2025-06-13-06-04: <epoch:1, iter:600, total_loss_g:502.8627, adv_g_loss:2.2532, feat_loss:0.6882, rec_loss:499.2330, commit_loss:0.0004, loss_d:0.4747, d_weight: 1.0000>
2025-06-13-06-07: <epoch:1, iter:700, total_loss_g:340.7835, adv_g_loss:1.8015, feat_loss:0.5168, rec_loss:337.9480, commit_loss:0.0010, loss_d:1.1663, d_weight: 1.0000>
2025-06-13-06-10: <epoch:1, iter:800, total_loss_g:341.7906, adv_g_loss:2.1179, feat_loss:0.4614, rec_loss:338.7499, commit_loss:0.0001, loss_d:1.2187, d_weight: 1.0000>
2025-06-13-06-13: <epoch:1, iter:900, total_loss_g:319.0638, adv_g_loss:1.9964, feat_loss:0.6504, rec_loss:315.7654, commit_loss:0.0059, loss_d:0.6594, d_weight: 1.0000>
2025-06-13-06-16: <epoch:1, iter:1000, total_loss_g:411.6922, adv_g_loss:2.1123, feat_loss:0.6479, rec_loss:408.2840, commit_loss:0.0015, loss_d:0.7073, d_weight: 1.0000>
2025-06-13-06-19: <epoch:1, iter:1100, total_loss_g:404.5240, adv_g_loss:2.1586, feat_loss:0.6327, rec_loss:401.1000, commit_loss:0.0003, loss_d:0.8149, d_weight: 1.0000>
2025-06-13-06-22: <epoch:1, iter:1200, total_loss_g:386.4376, adv_g_loss:2.1037, feat_loss:0.6841, rec_loss:382.9656, commit_loss:0.0000, loss_d:0.3741, d_weight: 1.0000>
2025-06-13-06-25: <epoch:1, iter:1300, total_loss_g:430.2432, adv_g_loss:2.0960, feat_loss:0.6269, rec_loss:426.8930, commit_loss:0.0012, loss_d:0.8634, d_weight: 1.0000>
2025-06-13-06-28: <epoch:1, iter:1400, total_loss_g:322.8520, adv_g_loss:2.1096, feat_loss:0.6450, rec_loss:319.4523, commit_loss:0.0009, loss_d:0.5453, d_weight: 1.0000>
2025-06-13-06-31: <epoch:1, iter:1500, total_loss_g:420.7333, adv_g_loss:2.3521, feat_loss:0.5892, rec_loss:417.2025, commit_loss:0.0009, loss_d:0.8778, d_weight: 1.0000>
2025-06-13-06-34: <epoch:1, iter:1600, total_loss_g:402.6821, adv_g_loss:2.0693, feat_loss:0.6585, rec_loss:399.2959, commit_loss:0.0000, loss_d:0.5036, d_weight: 1.0000>
2025-06-13-06-37: <epoch:1, iter:1700, total_loss_g:423.0412, adv_g_loss:2.0775, feat_loss:0.5556, rec_loss:419.8521, commit_loss:0.0020, loss_d:0.5751, d_weight: 1.0000>
2025-06-13-06-40: <epoch:1, iter:1800, total_loss_g:423.8650, adv_g_loss:2.4811, feat_loss:0.6454, rec_loss:420.0930, commit_loss:0.0002, loss_d:0.8395, d_weight: 1.0000>
2025-06-13-06-43: <epoch:1, iter:1900, total_loss_g:363.4874, adv_g_loss:2.0695, feat_loss:0.6691, rec_loss:360.0796, commit_loss:0.0003, loss_d:0.4891, d_weight: 1.0000>
2025-06-13-06-45: <epoch:1, iter:2000, total_loss_g:473.8802, adv_g_loss:2.0524, feat_loss:0.7963, rec_loss:470.2352, commit_loss:0.0011, loss_d:0.7611, d_weight: 1.0000>
2025-06-13-06-48: <epoch:1, iter:2100, total_loss_g:348.3047, adv_g_loss:2.3718, feat_loss:0.6896, rec_loss:344.5536, commit_loss:0.0000, loss_d:0.4313, d_weight: 1.0000>
2025-06-13-06-51: <epoch:1, iter:2200, total_loss_g:339.6775, adv_g_loss:2.2784, feat_loss:0.6894, rec_loss:336.0202, commit_loss:0.0001, loss_d:0.2983, d_weight: 1.0000>
2025-06-13-06-54: <epoch:1, iter:2300, total_loss_g:287.0637, adv_g_loss:2.0876, feat_loss:0.4383, rec_loss:284.0992, commit_loss:0.0018, loss_d:1.0609, d_weight: 1.0000>
2025-06-13-06-57: <epoch:1, iter:2400, total_loss_g:295.5207, adv_g_loss:2.2248, feat_loss:0.5817, rec_loss:292.1324, commit_loss:0.0014, loss_d:0.7377, d_weight: 1.0000>
2025-06-13-07-00: <epoch:1, iter:2500, total_loss_g:397.4254, adv_g_loss:2.0671, feat_loss:0.7148, rec_loss:393.9273, commit_loss:0.0091, loss_d:0.6946, d_weight: 1.0000>
2025-06-13-07-03: <epoch:1, iter:2600, total_loss_g:440.6493, adv_g_loss:2.3740, feat_loss:0.7359, rec_loss:436.8035, commit_loss:0.0000, loss_d:0.3934, d_weight: 1.0000>
