2025-06-13-03-58: using tensorboard
2025-06-13-03-58: Using LibriSpeech dataset
2025-06-13-03-58: Build optimizers and lr-schedulers
2025-06-13-04-01: <epoch:0, iter:100, total_loss_g:514.3792, adv_g_loss:0.9971, feat_loss:0.0710, rec_loss:514.3770, commit_loss:0.0062, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-03: <epoch:0, iter:200, total_loss_g:371.9142, adv_g_loss:0.9971, feat_loss:0.0445, rec_loss:371.9138, commit_loss:0.0018, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-06: <epoch:0, iter:300, total_loss_g:350.6345, adv_g_loss:0.9971, feat_loss:0.0505, rec_loss:350.6329, commit_loss:0.0074, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-09: <epoch:0, iter:400, total_loss_g:331.2797, adv_g_loss:0.9971, feat_loss:0.0544, rec_loss:331.2793, commit_loss:0.0012, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-12: <epoch:0, iter:500, total_loss_g:390.6950, adv_g_loss:0.9971, feat_loss:0.0514, rec_loss:390.6946, commit_loss:0.0017, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-15: <epoch:0, iter:600, total_loss_g:448.6183, adv_g_loss:0.9971, feat_loss:0.0514, rec_loss:448.6181, commit_loss:0.0009, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-17: <epoch:0, iter:700, total_loss_g:344.5074, adv_g_loss:0.9971, feat_loss:0.0339, rec_loss:344.5072, commit_loss:0.0009, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-20: <epoch:0, iter:800, total_loss_g:341.3622, adv_g_loss:0.9971, feat_loss:0.0278, rec_loss:341.3621, commit_loss:0.0003, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-23: <epoch:0, iter:900, total_loss_g:328.1664, adv_g_loss:0.9971, feat_loss:0.0486, rec_loss:328.1662, commit_loss:0.0005, loss_d:0.0000, d_weight: 1.0000>
2025-06-13-04-26: <epoch:0, iter:1000, total_loss_g:426.4684, adv_g_loss:0.9971, feat_loss:0.0467, rec_loss:425.3779, commit_loss:0.0004, loss_d:2.0000, d_weight: 1.0000>
2025-06-13-04-29: <epoch:0, iter:1100, total_loss_g:388.6225, adv_g_loss:1.1017, feat_loss:0.1417, rec_loss:387.2373, commit_loss:0.0002, loss_d:1.8747, d_weight: 1.0000>
2025-06-13-04-32: <epoch:0, iter:1200, total_loss_g:404.0201, adv_g_loss:1.2388, feat_loss:0.2424, rec_loss:402.2965, commit_loss:0.0007, loss_d:1.8346, d_weight: 1.0000>
2025-06-13-04-34: <epoch:0, iter:1300, total_loss_g:395.5392, adv_g_loss:1.3874, feat_loss:0.4843, rec_loss:393.1829, commit_loss:0.0016, loss_d:1.5986, d_weight: 1.0000>
2025-06-13-04-37: <epoch:0, iter:1400, total_loss_g:342.2948, adv_g_loss:1.6049, feat_loss:0.3939, rec_loss:339.9020, commit_loss:0.0001, loss_d:1.5016, d_weight: 1.0000>
2025-06-13-04-40: <epoch:0, iter:1500, total_loss_g:412.1451, adv_g_loss:1.9760, feat_loss:0.4784, rec_loss:409.2123, commit_loss:0.0003, loss_d:1.1829, d_weight: 1.0000>
2025-06-13-04-43: <epoch:0, iter:1600, total_loss_g:406.4921, adv_g_loss:2.0143, feat_loss:0.4597, rec_loss:403.5583, commit_loss:0.0006, loss_d:1.2827, d_weight: 1.0000>
